CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,NOMGEO
30,065,0073,0078,La Cumbre
30,087,0158,0287,La Cúspide
30,072,0022,0049,Palo Bendito
30,069,0065,0024,Ejido Soto y Gama
30,071,0032,0022,Tlavictepan
30,071,0004,0037,Amatiopa (Mesa Limón)
30,073,0017,0116,La Gloria
30,187,0006,0013,Piedras Grandes
20,057,0009,0161,Colonia Gabriel Ramos Millán
30,123,0039,0266,Ex-Hacienda Chintón (La Quina)
30,108,0037,0683,La Concepción
30,123,0609,0270,Pánuco (La Pitahaya) [Nuevo Centro de Población]
30,124,0006,0140,Ignacio Allende
30,124,0039,0140,Francisco I. Madero
30,126,0135,0041,Colonia el Cocuíte (La Santísima)
30,126,0040,0041,El Tejón
30,148,0080,002A,Puerta de Mata Anona
30,100,0059,0011,Curva del Paso Real
30,101,0046,0108,La Loma
30,128,0006,0012,El Frijol Colorado
30,128,0010,0065,Libertad
30,055,0029,0014,Zapotitla
30,129,0179,001A,Octayo
30,074,0002,001A,Donato Guerra
30,210,0121,0117,Rafael Murillo Vidal
30,108,0144,0166,La Reforma
30,166,0012,0013,Vicente Guerrero (Tepetates)
30,122,0028,0038,Nuevo Mangal
30,123,0007,0069,Jopoy
30,123,0501,0196,Ejido Tancoco
30,066,0022,0018,Poza Larga Zapotal
30,069,0005,0024,Carrillo Puerto (Santa Rosa)
30,069,0019,0024,Paguas de Coronado
30,124,0119,0189,Veinte de Noviembre
30,130,0093,010A,Vicente Guerrero
30,032,0084,0147,Perla de San Martín
30,141,0281,0067,Ampliación Caravaca (Kilómetro 30)
30,142,0027,012A,Ejido Monte Verde
30,175,0171,0031,Los Pinos
30,006,0003,0039,Aguachinola
30,006,0017,0039,Tecamalucan
30,020,0039,0019,Terrero
30,115,0019,0014,Taza de Agua Ojo Zarco
30,175,0066,0169,San Nicolás
30,154,0007,0012,La Ceiba Ocampo
30,155,0160,0382,Moralillo
30,155,0178,0166,El Sabroso Uno Crucero Palmito
30,155,0710,0166,La Unidad
30,157,0025,0029,Teayo
30,160,0002,0128,Aguacate de Vinazco
30,160,0025,0096,La Camelia (Palo Blanco)
30,161,0248,0125,Guayalitos
30,161,0006,0144,Corozal
30,010,0047,0012,Colonia Ejidal Guadalupe Victoria
30,174,0002,0104,El Amate
30,174,0550,0176,Nuevo Laguna Escondida
30,202,0007,0011,La Candelaria
30,180,0022,0012,La Pahua
30,169,0200,0087,Tierra y Libertad
30,189,0480,0041,Ampliación Fraternidad Antorchista
30,175,0357,0154,Fernando Gutiérrez Barrios
30,175,0030,0050,La Isla (Kilómetro 10)
